name,role,org,city,state,domain,topics,linkedin,pronouns,yearsExperience,bio
Shikhar Prajapati,Communication & Leadership Trainer,Independent,Jaipur,Rajasthan,communication,leadership; communication; personality development; training; public speaking,shikhar-prajapati-b72a3582,he/him,10,Communication and leadership trainer known for personality development and public speaking.
Nitin Jain,Creative Industry Entrepreneur,Indibni,Jaipur,Rajasthan,creative-arts,entrepreneurship; creative industries; purpose driven business; creators and artisans,indianimator,he/him,15,Creative industry entrepreneur building purpose driven business with creators and artisans.
Anurag Jain,"Co Founder, CarDekho",CarDekho,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; CarDekho; scaling startups; mobility; technology,anurag-jain-cardekho,he/him,18,"Co founder of CarDekho, the Jaipur born mobility platform that scaled into one of India's biggest auto tech companies."
Garima Seth,Venture Capital & Startup Investor,Independent,Jaipur,Rajasthan,finance,venture capital; startup investing; fundraising; early stage companies,garimaseth1,she/her,9,"Venture capital professional focused on early stage investing, active in TiE Rajasthan events in Jaipur."
Gajendra Chauhan,Inclusive Entrepreneurship Advocate,Independent,Jaipur,Rajasthan,social-impact,startup ecosystem; inclusive entrepreneurship; tribal entrepreneurship; social impact; venture building,gajendra-chauhan-ab53b327,he/him,12,Champions inclusive and tribal entrepreneurship across Rajasthan's social impact ecosystem.
Puneet Madan,Rajasthan Startup Ecosystem Builder,iStart,Jaipur,Rajasthan,entrepreneurship,Rajasthan startup ecosystem; innovation; entrepreneurship; iStart,puneetmadan,he/him,14,"Rajasthan startup ecosystem leader associated with iStart, speaking at Jaipur entrepreneurship events."
Vijay Singh Rathore,Venture Capital Investor,Independent,Jaipur,Rajasthan,finance,venture capital; startups; fundraising; early stage investing,vijay-singh-rathore,he/him,11,"Venture capital investor focused on early stage startups, featured at Amity Rajasthan's Jaipur E Summit."
Shivam Lohiya,Startup Growth & Metrics,Independent,Jaipur,Rajasthan,entrepreneurship,startups; early stage growth; metrics; venture building; entrepreneurship,shivam-lohiya,he/him,8,"Startup growth professional focused on early stage metrics and venture building, at Amity's Jaipur E Summit."
Shubham Bansal,Jaipur Founder Community Builder,Independent,Jaipur,Rajasthan,entrepreneurship,startup ecosystem; entrepreneurship; business building; Jaipur founder community,shubham-bansal,he/him,9,Startup ecosystem builder active in Jaipur's founder community and startup events.
Amit Singal,Early Stage VC,Independent,Jaipur,Rajasthan,finance,venture capital; startup investing; entrepreneurship; early stage ecosystem,amitsingal,he/him,12,Early stage venture investor active across Jaipur startup events.
Priyanshu Goyal,Food & Digital Entrepreneur,Independent,Jaipur,Rajasthan,food,entrepreneurship; food startups; digital business; founder ecosystem,priyanshu-goyal,he/him,8,Food and digital entrepreneur active in Jaipur's founder ecosystem.
Shalabh Sharma,Venture Ecosystem & Inclusive Innovation,Independent,Jaipur,Rajasthan,entrepreneurship,startups; venture ecosystem; entrepreneurship; inclusive innovation,shalabhsharma,he/him,11,Startup and venture ecosystem leader championing inclusive innovation across Jaipur.
Aditya Soni,Cloud Native & Developer Advocate,Independent,Jaipur,Rajasthan,technology,cloud native technology; open source; AI ML communities; Kubernetes; developer advocacy,adityasonittyl,he/him,10,"Lead organizer for CNCF Jaipur and AWS User Group Jaipur, a cloud native and open source advocate."
Prateek Jain,Technology Storyteller,Independent,Jaipur,Rajasthan,technology,technology; AI content; software; digital products; storytelling,prateekjain2605,he/him,9,Technology and AI content creator telling stories about software and digital products.
Nishant Tiwari,Student Technologist,Independent,Jaipur,Rajasthan,technology,student technology; AI ML; developer communities; hackathons; entrepreneurship,nishant-tiwari-9796,he/him,5,Student technologist building AI ML projects and driving developer communities and hackathons.
Priyanshu Agarwal,AI Builder & Entrepreneur,Independent,Jaipur,Rajasthan,ai,AI development; entrepreneurship; web products; student innovation; education technology,priyanshu-agarwal,he/him,6,Jaipur based AI focused builder and entrepreneur working on web products and edtech.
Shubham Singh,Digital Marketing & Performance,Independent,Jaipur,Rajasthan,marketing,digital marketing; Google Ads; performance marketing; international lead generation; entrepreneurship,shubham-singh-34697628,he/him,8,Digital marketer specializing in Google Ads and international lead generation from Jaipur.
Jai V. Pareek,Emotional Intelligence & Life Skills,Independent,Jaipur,Rajasthan,communication,communication; emotional intelligence; relationships; leadership; personality development; life skills,jai-pareek,he/him,12,"Jaipur based organization leader focused on emotional intelligence, communication and life skills."
Dr. Anoop Bartaria,Sustainable Urban Development,Independent,Jaipur,Rajasthan,urbanism,sustainable urban development; architecture; infrastructure; Jaipur built environment,anoopbartaria,he/him,16,Expert in sustainable urban development and the Jaipur built environment.
Dhawal Singhal,Rajasthan Innovation & Startup,Independent,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; technology; startup ecosystem; Rajasthan innovation,dhawal-singhal,he/him,10,Rajasthan innovation and startup ecosystem participant.
Mahavir Pratap Sharma,Venture Capital & Impact Investing,Independent,Jaipur,Rajasthan,finance,venture capital; entrepreneurship; startup ecosystem; impact investing,mahavirpratapsharma,he/him,11,Venture capital and impact investing professional across the founder ecosystem.
Amit Purohit,Technology & Startup Builder,Independent,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; technology; startup ecosystem; Rajasthan innovation,amit-purohit,he/him,10,Technology and startup builder in Rajasthan's innovation ecosystem.
Amit Jain,"Co Founder, CarDekho",CarDekho,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; mobility technology; startup scaling; automotive ecosystem,amit-jain-cardekho,he/him,18,"Co founder of CarDekho, scaling the Jaipur born automotive technology platform."
Yogesh Chaudhary,"Director, Jaipur Rugs",Jaipur Rugs,Jaipur,Rajasthan,textile,Jaipur Rugs; entrepreneurship; craft; global business; artisan ecosystem,yogesh-chaudhary,he/him,18,"Leads Jaipur Rugs, connecting Rajasthani artisans to a global business of handmade craft."
Akshay Shivpuri,Consumer Brand Entrepreneur,Independent,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; consumer brands; D2C; lifestyle business,akshayshivpuri,he/him,10,Consumer and D2C brand entrepreneur active in Jaipur's CXO and founder community.
Rajendra Lora,Venture Capital Investor,Independent,Jaipur,Rajasthan,finance,venture capital; startup investing; entrepreneurship,rajendralora,he/him,12,Venture capital investor active across Jaipur's founder and CXO community.
Nitin Jain,"Founder, Indigifts",Indigifts,Jaipur,Rajasthan,entrepreneurship,consumer business; gifting; entrepreneurship; D2C; scaling,nitin-jain-indigifts,he/him,13,"Founder of Indigifts, scaling a consumer gifting brand built in Jaipur."
Kumar Vaibhav,Consumer Products Entrepreneur,Independent,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; consumer products; startups; D2C,kumar-vaibhav,he/him,9,Consumer products entrepreneur building D2C brands.
Parul Sharma,Food Business Entrepreneur,Independent,Jaipur,Rajasthan,food,entrepreneurship; food business; consumer brands; D2C,parul-sharma,she/her,9,Food business entrepreneur building consumer D2C brands.
Astha Katta Sirohiya,Jewellery & Fashion Entrepreneur,Independent,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; consumer brands; jewellery; fashion; D2C,astha-katta-sirohiya,she/her,10,Jewellery and fashion entrepreneur building D2C consumer brands.
Shaurya Kanoria,Food Startup Founder,Independent,Jaipur,Rajasthan,food,food entrepreneurship; consumer brands; D2C; startup building,shauryakanoria,he/him,8,Food entrepreneurship founder building consumer D2C brands.
Manish Katela,Consumer Business Builder,Independent,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; consumer business; startup building,manish-katela,he/him,10,Consumer business and startup builder in Jaipur.
Avinash Pareek,Technology Entrepreneur,Independent,Jaipur,Rajasthan,technology,entrepreneurship; technology; business; startup building,avinash-pareek,he/him,10,Technology entrepreneur building startups in Jaipur.
Manushree Khandelwal,Women's Entrepreneurship Advocate,Independent,Jaipur,Rajasthan,entrepreneurship,women entrepreneurship; consumer products; D2C; startup ecosystem,manushree-khandelwal,she/her,9,Advocate for women entrepreneurship building consumer D2C products.
